der Tag,dan
der Morgen,jutro
der Herr,gospod
der Freund,prijatelj
der Name,ime
der Sport,šport
der Fussball,nogomet
das Alter,starost
das Konzert,koncert
das Englisch,angleščina
die Frau,gospa
die Freundin,prijateljica
die Stadt,mesto
die Musik,glasba
die SMS,SMS
die Schule,šola
die Brüder,brat
der Name,ime
der Vorname,osebno ime
der Nachname,priimek
das Alter,starost
der Wohnort,kraj bivanja
die Adresse,naslov
der Geburtstag,rojstni dan
die Schule,šola
die Klasse,razred
das Hobby,hobi
die Familie,družina
die Sprache,jezik
die Mutter,mama
der Vater,oče
die Eltern,starši
die Schwester,sestra
der Bruder,brat
die Freundin,prijateljica
der Freund,prijatelj
der Lehrer,učitelj
die Lehrerin,učiteljica
der Schüler,učenec
die Schülerin,učenka
das Buch,knjiga
das Heft,zvezek
der Stift,pisalo
die Tasche,torba
das Haus,hiša
das Zimmer,soba
die Freizeit,prosti čas
das Essen,hrana
das Getränk,pijača
das Auto,avto